grid,true_density,slq_curve,dfl_curve
-9.970590130706968868e-01,2.972630821566220327e-02,2.986086623975747062e-02,2.947206819778891776e-02
-9.169625687489563193e-01,3.918302039530710545e-02,3.934779867560992545e-02,3.881841313469486243e-02
-8.368661244272157518e-01,5.084907660706516896e-02,5.104670845579518251e-02,5.033581457614021842e-02
-7.567696801054752953e-01,6.497549076793422695e-02,6.520753226593825613e-02,6.426633549200877482e-02
-6.766732357837347278e-01,8.176250379417675240e-02,8.202904560968607428e-02,8.080092344213891942e-02
-5.965767914619941603e-01,1.013345714501484446e-01,1.016338925883922550e-01,1.000551366839709799e-01
-5.164803471402537038e-01,1.237157205245629082e-01,1.240440352183064532e-01,1.220455043909891846e-01
-4.363839028185131363e-01,1.488077188781550819e-01,1.491590693124656419e-01,1.466689473770204089e-01
-3.562874584967725689e-01,1.763736712887621350e-01,1.767400129521378982e-01,1.736878109704038387e-01
-2.761910141750320014e-01,2.060295144287356828e-01,2.064010262755325564e-01,2.027228764756213997e-01
-1.960945698532914339e-01,2.372454092305108508e-01,2.376110372154124073e-01,2.332561962657290211e-01
-1.159981255315509774e-01,2.693582348766231926e-01,2.697064459489999511e-01,2.646447650610035396e-01
-3.590168120981040989e-02,3.015953461562174143e-01,3.019150335427887577e-01,2.961449752558994453e-01
4.419476311193015761e-02,3.331085825325794114e-01,3.333900272441633894e-01,3.269466328203049499e-01
1.242912074336706141e-01,3.630163622546738744e-01,3.632521272286638458e-01,3.562141876064686685e-01
2.043876517554112926e-01,3.904507165089278198e-01,3.906363365963636536e-01,3.831319185630298607e-01
2.844840960771517491e-01,4.146054582434514080e-01,4.147397986285943916e-01,4.069492493138850420e-01
3.645805403988922055e-01,4.347814379822104724e-01,4.348666299202768037e-01,4.270222450761537725e-01
4.446769847206328841e-01,4.504250559469797910e-01,4.504659810058360692e-01,4.428476862738787156e-01
5.247734290423733405e-01,4.611568512084021632e-01,4.611602256882204598e-01,4.540868856968469092e-01
6.048698733641140191e-01,4.667879876083426693e-01,4.667611826998230296e-01,4.605775093557475386e-01
6.849663176858544755e-01,4.673236691382271490e-01,4.672734700420026477e-01,4.623329252924941457e-01
7.650627620075949320e-01,4.629537861587695868e-01,4.628853247853544906e-01,4.595298683512416549e-01
8.451592063293356105e-01,4.540322610450094332e-01,4.539483374818383821e-01,4.524863090861098169e-01
9.252556506510760670e-01,4.410474946410982144e-01,4.409484289779616040e-01,4.416322215847436339e-01
1.005352094972816746e+00,4.245869222797047926e-01,4.244709620834038466e-01,4.274763791681744918e-01
1.085448539294557202e+00,4.052989299555230795e-01,4.051631054715693070e-01,4.105723488090202711e-01
1.165544983616297658e+00,3.838552684155847050e-01,3.836964723125227961e-01,3.914865410691220626e-01
1.245641427938038115e+00,3.609166895381975548e-01,3.607326953348182208e-01,3.707705833551626640e-01
1.325737872259778571e+00,3.371038996043949076e-01,3.368940463267657837e-01,3.489395283800919012e-01
1.405834316581519472e+00,3.129751766644073840e-01,3.127405400651861456e-01,3.264566025479975209e-01
1.485930760903259928e+00,2.890112323657031967e-01,2.887542545275198491e-01,3.037244459222470661e-01
1.566027205225000385e+00,2.656071975128404539e-01,2.653309158055286998e-01,2.810821781008243647e-01
1.646123649546740841e+00,2.430710388710226322e-01,2.427781913839810735e-01,2.588071929597924870e-01
1.726220093868481298e+00,2.216273101301050041e-01,2.213196527401969926e-01,2.371203572107529745e-01
1.806316538190222198e+00,2.014249144348026488e-01,2.011030399326254603e-01,2.161932512073183321e-01
1.886412982511962655e+00,1.825474986532848731e-01,1.822113062715048915e-01,1.961562115952474317e-01
1.966509426833703111e+00,1.650251825392614891e-01,1.646749430543343884e-01,1.771061673457246521e-01
2.046605871155443346e+00,1.488465105202054772e-01,1.484842657587431836e-01,1.591135524228704246e-01
2.126702315477183802e+00,1.339697577072206935e-01,1.336006467511005324e-01,1.422278822323211345e-01
2.206798759798925147e+00,1.203329850176256405e-01,1.199660515428259272e-01,1.264818583504392913e-01
2.286895204120665603e+00,1.078624883333683393e-01,1.075106135023559950e-01,1.118940899689207236e-01
2.366991648442406060e+00,9.647950065120734775e-02,9.615830625314866764e-02,9.847067672122120086e-02
2.447088092764146516e+00,8.610517221446925551e-02,8.583099902932871117e-02,8.620598331213265297e-02
2.527184537085886973e+00,7.666396933334218566e-02,7.645128687930408118e-02,7.508295809263040854e-02
2.607280981407627429e+00,6.808570297199105503e-02,6.794448054635726653e-02,6.507331814927685976e-02
2.687377425729367886e+00,6.030643240843738817e-02,6.024004942146746894e-02,5.613785863217375660e-02
2.767473870051108342e+00,5.326849777997227919e-02,5.327267901063540562e-02,4.822706050856334636e-02
2.847570314372848799e+00,4.691992738435521448e-02,4.698297815739740924e-02,4.128208367296686693e-02
2.927666758694589255e+00,4.121344795396358202e-02,4.131778768965752718e-02,3.523615324686367456e-02
3.007763203016330600e+00,3.610530263514277749e-02,3.623002039024620508e-02,3.001628396554831268e-02
3.087859647338071056e+00,3.155405363603410590e-02,3.167800084703733393e-02,2.554524478188717820e-02
3.167956091659811513e+00,2.751951469044332244e-02,2.762435380761350118e-02,2.174364363673334313e-02
3.248052535981551969e+00,2.396192265322404438e-02,2.403458179028233541e-02,1.853200839352478480e-02
3.328148980303292426e+00,2.084141836702423090e-02,2.087554642362023441e-02,1.583275008669244102e-02
3.408245424625032882e+00,1.811786614065812387e-02,1.811410018413795592e-02,1.357191405532394597e-02
3.488341868946773339e+00,1.575100145498366591e-02,1.571609561446769832e-02,1.168064860187087786e-02
3.568438313268513795e+00,1.370086111140123714e-02,1.364593179144672763e-02,1.009634578644805908e-02
3.648534757590254252e+00,1.192842214602042768e-02,1.186669872088970748e-02,8.763432318459329906e-03
3.728631201911995596e+00,1.039635796403851759e-02,1.034087212507602341e-02,7.633808954185261793e-03
3.808727646233736053e+00,9.069813691637387473e-03,9.031416930324775993e-03,6.666954052299908437e-03
3.888824090555476509e+00,7.917107727215213012e-03,7.903095804284013259e-03,5.829721255313548463e-03
3.968920534877216966e+00,6.910281581986483200e-03,6.923758872693600887e-03,5.095873068064045615e-03
4.049016979198957422e+00,6.025442878033203213e-03,6.065412108486825486e-03,4.445401602500989070e-03
4.129113423520697879e+00,5.242873588553173536e-03,5.304916272159045099e-03,3.863694782627538279e-03
4.209209867842438335e+00,4.546903692356650019e-03,4.624241691234593291e-03,3.340610340319764057e-03
4.289306312164178792e+00,3.925575930521889301e-03,4.010280840849724665e-03,2.869520320302054381e-03
4.369402756485919248e+00,3.370147411172461950e-03,3.454286564176129847e-03,2.446385030463623083e-03
4.449499200807659705e+00,2.874486424676688228e-03,2.951048990413257869e-03,2.068907322712586726e-03
